agency,state,type,year,month,offense,count
Battle Creek Police Department,MI,City,2026,1,Murder,0
Battle Creek Police Department,MI,City,2026,1,Rape,5
Battle Creek Police Department,MI,City,2026,1,Robbery,2
Battle Creek Police Department,MI,City,2026,1,Aggravated Assault,35
Battle Creek Police Department,MI,City,2026,1,Burglary,12
Battle Creek Police Department,MI,City,2026,1,Theft,93
Battle Creek Police Department,MI,City,2026,1,Motor Vehicle Theft,1
Lansing Police Department,MI,City,2026,1,Murder,0
Lansing Police Department,MI,City,2026,1,Rape,0
Lansing Police Department,MI,City,2026,1,Robbery,0
Lansing Police Department,MI,City,2026,1,Aggravated Assault,2
Lansing Police Department,MI,City,2026,1,Burglary,0
Lansing Police Department,MI,City,2026,1,Theft,2
Lansing Police Department,MI,City,2026,1,Motor Vehicle Theft,2
Lansing Police Department,MI,City,2026,1,Murder,0
Lansing Police Department,MI,City,2026,1,Rape,10
Lansing Police Department,MI,City,2026,1,Robbery,2
Lansing Police Department,MI,City,2026,1,Aggravated Assault,70
Lansing Police Department,MI,City,2026,1,Burglary,25
Lansing Police Department,MI,City,2026,1,Theft,114
Lansing Police Department,MI,City,2026,1,Motor Vehicle Theft,34
Kalamazoo County Sheriff's Office,MI,County,2026,1,Murder,0
Kalamazoo County Sheriff's Office,MI,County,2026,1,Rape,3
Kalamazoo County Sheriff's Office,MI,County,2026,1,Robbery,2
Kalamazoo County Sheriff's Office,MI,County,2026,1,Aggravated Assault,21
Kalamazoo County Sheriff's Office,MI,County,2026,1,Burglary,13
Kalamazoo County Sheriff's Office,MI,County,2026,1,Theft,88
Kalamazoo County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,4
Kalamazoo Department of Public Safety,MI,City,2026,1,Murder,2
Kalamazoo Department of Public Safety,MI,City,2026,1,Rape,2
Kalamazoo Department of Public Safety,MI,City,2026,1,Robbery,8
Kalamazoo Department of Public Safety,MI,City,2026,1,Aggravated Assault,31
Kalamazoo Department of Public Safety,MI,City,2026,1,Burglary,23
Kalamazoo Department of Public Safety,MI,City,2026,1,Theft,60
Kalamazoo Department of Public Safety,MI,City,2026,1,Motor Vehicle Theft,16
Grand Rapids Police Department,MI,City,2026,1,Murder,1
Grand Rapids Police Department,MI,City,2026,1,Rape,11
Grand Rapids Police Department,MI,City,2026,1,Robbery,12
Grand Rapids Police Department,MI,City,2026,1,Aggravated Assault,90
Grand Rapids Police Department,MI,City,2026,1,Burglary,22
Grand Rapids Police Department,MI,City,2026,1,Theft,256
Grand Rapids Police Department,MI,City,2026,1,Motor Vehicle Theft,28
Kent County Sheriff's Office,MI,County,2026,1,Murder,0
Kent County Sheriff's Office,MI,County,2026,1,Rape,6
Kent County Sheriff's Office,MI,County,2026,1,Robbery,0
Kent County Sheriff's Office,MI,County,2026,1,Aggravated Assault,24
Kent County Sheriff's Office,MI,County,2026,1,Burglary,14
Kent County Sheriff's Office,MI,County,2026,1,Theft,88
Kent County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,9
Wyoming Police Department,MI,City,2026,1,Murder,0
Wyoming Police Department,MI,City,2026,1,Rape,5
Wyoming Police Department,MI,City,2026,1,Robbery,2
Wyoming Police Department,MI,City,2026,1,Aggravated Assault,17
Wyoming Police Department,MI,City,2026,1,Burglary,7
Wyoming Police Department,MI,City,2026,1,Theft,106
Wyoming Police Department,MI,City,2026,1,Motor Vehicle Theft,7
Livingston County Sheriff's Office,MI,County,2026,1,Murder,0
Livingston County Sheriff's Office,MI,County,2026,1,Rape,0
Livingston County Sheriff's Office,MI,County,2026,1,Robbery,0
Livingston County Sheriff's Office,MI,County,2026,1,Aggravated Assault,2
Livingston County Sheriff's Office,MI,County,2026,1,Burglary,0
Livingston County Sheriff's Office,MI,County,2026,1,Theft,18
Livingston County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,1
Clinton Township Police Department,MI,City,2026,1,Murder,1
Clinton Township Police Department,MI,City,2026,1,Rape,4
Clinton Township Police Department,MI,City,2026,1,Robbery,1
Clinton Township Police Department,MI,City,2026,1,Aggravated Assault,17
Clinton Township Police Department,MI,City,2026,1,Burglary,8
Clinton Township Police Department,MI,City,2026,1,Theft,69
Clinton Township Police Department,MI,City,2026,1,Motor Vehicle Theft,12
Macomb County Sheriff's Office,MI,County,2026,1,Murder,0
Macomb County Sheriff's Office,MI,County,2026,1,Rape,4
Macomb County Sheriff's Office,MI,County,2026,1,Robbery,1
Macomb County Sheriff's Office,MI,County,2026,1,Aggravated Assault,20
Macomb County Sheriff's Office,MI,County,2026,1,Burglary,4
Macomb County Sheriff's Office,MI,County,2026,1,Theft,20
Macomb County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,4
Saint Clair Shores Police Department,MI,City,2026,1,Murder,0
Saint Clair Shores Police Department,MI,City,2026,1,Rape,0
Saint Clair Shores Police Department,MI,City,2026,1,Robbery,0
Saint Clair Shores Police Department,MI,City,2026,1,Aggravated Assault,5
Saint Clair Shores Police Department,MI,City,2026,1,Burglary,3
Saint Clair Shores Police Department,MI,City,2026,1,Theft,20
Saint Clair Shores Police Department,MI,City,2026,1,Motor Vehicle Theft,9
Shelby Township Police Department,MI,City,2026,1,Murder,0
Shelby Township Police Department,MI,City,2026,1,Rape,1
Shelby Township Police Department,MI,City,2026,1,Robbery,0
Shelby Township Police Department,MI,City,2026,1,Aggravated Assault,8
Shelby Township Police Department,MI,City,2026,1,Burglary,2
Shelby Township Police Department,MI,City,2026,1,Theft,32
Shelby Township Police Department,MI,City,2026,1,Motor Vehicle Theft,1
Sterling Heights Police Department,MI,City,2026,1,Murder,0
Sterling Heights Police Department,MI,City,2026,1,Rape,4
Sterling Heights Police Department,MI,City,2026,1,Robbery,0
Sterling Heights Police Department,MI,City,2026,1,Aggravated Assault,20
Sterling Heights Police Department,MI,City,2026,1,Burglary,5
Sterling Heights Police Department,MI,City,2026,1,Theft,93
Sterling Heights Police Department,MI,City,2026,1,Motor Vehicle Theft,4
Warren Police Department,MI,City,2026,1,Murder,1
Warren Police Department,MI,City,2026,1,Rape,12
Warren Police Department,MI,City,2026,1,Robbery,4
Warren Police Department,MI,City,2026,1,Aggravated Assault,38
Warren Police Department,MI,City,2026,1,Burglary,14
Warren Police Department,MI,City,2026,1,Theft,110
Warren Police Department,MI,City,2026,1,Motor Vehicle Theft,25
Farmington Hills Police Department,MI,City,2026,1,Murder,0
Farmington Hills Police Department,MI,City,2026,1,Rape,0
Farmington Hills Police Department,MI,City,2026,1,Robbery,0
Farmington Hills Police Department,MI,City,2026,1,Aggravated Assault,5
Farmington Hills Police Department,MI,City,2026,1,Burglary,6
Farmington Hills Police Department,MI,City,2026,1,Theft,18
Farmington Hills Police Department,MI,City,2026,1,Motor Vehicle Theft,5
Novi Police Department,MI,City,2026,1,Murder,0
Novi Police Department,MI,City,2026,1,Rape,0
Novi Police Department,MI,City,2026,1,Robbery,0
Novi Police Department,MI,City,2026,1,Aggravated Assault,2
Novi Police Department,MI,City,2026,1,Burglary,3
Novi Police Department,MI,City,2026,1,Theft,19
Novi Police Department,MI,City,2026,1,Motor Vehicle Theft,2
Royal Oak Police Department,MI,City,2026,1,Murder,0
Royal Oak Police Department,MI,City,2026,1,Rape,0
Royal Oak Police Department,MI,City,2026,1,Robbery,0
Royal Oak Police Department,MI,City,2026,1,Aggravated Assault,3
Royal Oak Police Department,MI,City,2026,1,Burglary,2
Royal Oak Police Department,MI,City,2026,1,Theft,37
Royal Oak Police Department,MI,City,2026,1,Motor Vehicle Theft,3
Southfield Police Department,MI,City,2026,1,Murder,1
Southfield Police Department,MI,City,2026,1,Rape,3
Southfield Police Department,MI,City,2026,1,Robbery,1
Southfield Police Department,MI,City,2026,1,Aggravated Assault,23
Southfield Police Department,MI,City,2026,1,Burglary,20
Southfield Police Department,MI,City,2026,1,Theft,82
Southfield Police Department,MI,City,2026,1,Motor Vehicle Theft,19
Troy Police Department,MI,City,2026,1,Murder,0
Troy Police Department,MI,City,2026,1,Rape,2
Troy Police Department,MI,City,2026,1,Robbery,0
Troy Police Department,MI,City,2026,1,Aggravated Assault,8
Troy Police Department,MI,City,2026,1,Burglary,7
Troy Police Department,MI,City,2026,1,Theft,73
Troy Police Department,MI,City,2026,1,Motor Vehicle Theft,3
Waterford Township Police Department,MI,City,2026,1,Murder,0
Waterford Township Police Department,MI,City,2026,1,Rape,3
Waterford Township Police Department,MI,City,2026,1,Robbery,0
Waterford Township Police Department,MI,City,2026,1,Aggravated Assault,7
Waterford Township Police Department,MI,City,2026,1,Burglary,3
Waterford Township Police Department,MI,City,2026,1,Theft,34
Waterford Township Police Department,MI,City,2026,1,Motor Vehicle Theft,1
West Bloomfield Township Police Department,MI,City,2026,1,Murder,0
West Bloomfield Township Police Department,MI,City,2026,1,Rape,1
West Bloomfield Township Police Department,MI,City,2026,1,Robbery,0
West Bloomfield Township Police Department,MI,City,2026,1,Aggravated Assault,2
West Bloomfield Township Police Department,MI,City,2026,1,Burglary,0
West Bloomfield Township Police Department,MI,City,2026,1,Theft,18
West Bloomfield Township Police Department,MI,City,2026,1,Motor Vehicle Theft,1
Ottawa County Sheriff's Office,MI,County,2026,1,Murder,0
Ottawa County Sheriff's Office,MI,County,2026,1,Rape,11
Ottawa County Sheriff's Office,MI,County,2026,1,Robbery,0
Ottawa County Sheriff's Office,MI,County,2026,1,Aggravated Assault,24
Ottawa County Sheriff's Office,MI,County,2026,1,Burglary,4
Ottawa County Sheriff's Office,MI,County,2026,1,Theft,109
Ottawa County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,8
Ann Arbor Police Department,MI,City,2026,1,Murder,0
Ann Arbor Police Department,MI,City,2026,1,Rape,1
Ann Arbor Police Department,MI,City,2026,1,Robbery,1
Ann Arbor Police Department,MI,City,2026,1,Aggravated Assault,12
Ann Arbor Police Department,MI,City,2026,1,Burglary,14
Ann Arbor Police Department,MI,City,2026,1,Theft,136
Ann Arbor Police Department,MI,City,2026,1,Motor Vehicle Theft,7
Washtenaw County Sheriff's Office,MI,County,2026,1,Murder,1
Washtenaw County Sheriff's Office,MI,County,2026,1,Rape,4
Washtenaw County Sheriff's Office,MI,County,2026,1,Robbery,0
Washtenaw County Sheriff's Office,MI,County,2026,1,Aggravated Assault,28
Washtenaw County Sheriff's Office,MI,County,2026,1,Burglary,5
Washtenaw County Sheriff's Office,MI,County,2026,1,Theft,50
Washtenaw County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,15
Canton Township Police Department,MI,City,2026,1,Murder,0
Canton Township Police Department,MI,City,2026,1,Rape,2
Canton Township Police Department,MI,City,2026,1,Robbery,0
Canton Township Police Department,MI,City,2026,1,Aggravated Assault,6
Canton Township Police Department,MI,City,2026,1,Burglary,6
Canton Township Police Department,MI,City,2026,1,Theft,49
Canton Township Police Department,MI,City,2026,1,Motor Vehicle Theft,7
Dearborn Heights Police Department,MI,City,2026,1,Murder,0
Dearborn Heights Police Department,MI,City,2026,1,Rape,0
Dearborn Heights Police Department,MI,City,2026,1,Robbery,0
Dearborn Heights Police Department,MI,City,2026,1,Aggravated Assault,6
Dearborn Heights Police Department,MI,City,2026,1,Burglary,4
Dearborn Heights Police Department,MI,City,2026,1,Theft,23
Dearborn Heights Police Department,MI,City,2026,1,Motor Vehicle Theft,12
Dearborn Police Department,MI,City,2026,1,Murder,0
Dearborn Police Department,MI,City,2026,1,Rape,1
Dearborn Police Department,MI,City,2026,1,Robbery,3
Dearborn Police Department,MI,City,2026,1,Aggravated Assault,15
Dearborn Police Department,MI,City,2026,1,Burglary,6
Dearborn Police Department,MI,City,2026,1,Theft,92
Dearborn Police Department,MI,City,2026,1,Motor Vehicle Theft,16
Detroit Police Department,MI,City,2026,1,Murder,8
Detroit Police Department,MI,City,2026,1,Rape,48
Detroit Police Department,MI,City,2026,1,Robbery,61
Detroit Police Department,MI,City,2026,1,Aggravated Assault,462
Detroit Police Department,MI,City,2026,1,Burglary,276
Detroit Police Department,MI,City,2026,1,Theft,1025
Detroit Police Department,MI,City,2026,1,Motor Vehicle Theft,314
Livonia Police Department,MI,City,2026,1,Murder,0
Livonia Police Department,MI,City,2026,1,Rape,1
Livonia Police Department,MI,City,2026,1,Robbery,1
Livonia Police Department,MI,City,2026,1,Aggravated Assault,11
Livonia Police Department,MI,City,2026,1,Burglary,8
Livonia Police Department,MI,City,2026,1,Theft,84
Livonia Police Department,MI,City,2026,1,Motor Vehicle Theft,6
Taylor Police Department,MI,City,2026,1,Murder,0
Taylor Police Department,MI,City,2026,1,Rape,5
Taylor Police Department,MI,City,2026,1,Robbery,2
Taylor Police Department,MI,City,2026,1,Aggravated Assault,24
Taylor Police Department,MI,City,2026,1,Burglary,9
Taylor Police Department,MI,City,2026,1,Theft,44
Taylor Police Department,MI,City,2026,1,Motor Vehicle Theft,10
Westland Police Department,MI,City,2026,1,Murder,0
Westland Police Department,MI,City,2026,1,Rape,5
Westland Police Department,MI,City,2026,1,Robbery,0
Westland Police Department,MI,City,2026,1,Aggravated Assault,24
Westland Police Department,MI,City,2026,1,Burglary,10
Westland Police Department,MI,City,2026,1,Theft,66
Westland Police Department,MI,City,2026,1,Motor Vehicle Theft,15
Battle Creek Police Department,MI,City,2026,2,Murder,0
Battle Creek Police Department,MI,City,2026,2,Rape,2
Battle Creek Police Department,MI,City,2026,2,Robbery,3
Battle Creek Police Department,MI,City,2026,2,Aggravated Assault,36
Battle Creek Police Department,MI,City,2026,2,Burglary,6
Battle Creek Police Department,MI,City,2026,2,Theft,69
Battle Creek Police Department,MI,City,2026,2,Motor Vehicle Theft,6
Lansing Police Department,MI,City,2026,2,Murder,1
Lansing Police Department,MI,City,2026,2,Rape,0
Lansing Police Department,MI,City,2026,2,Robbery,0
Lansing Police Department,MI,City,2026,2,Aggravated Assault,1
Lansing Police Department,MI,City,2026,2,Burglary,0
Lansing Police Department,MI,City,2026,2,Theft,1
Lansing Police Department,MI,City,2026,2,Motor Vehicle Theft,0
Lansing Police Department,MI,City,2026,2,Murder,0
Lansing Police Department,MI,City,2026,2,Rape,10
Lansing Police Department,MI,City,2026,2,Robbery,8
Lansing Police Department,MI,City,2026,2,Aggravated Assault,65
Lansing Police Department,MI,City,2026,2,Burglary,23
Lansing Police Department,MI,City,2026,2,Theft,109
Lansing Police Department,MI,City,2026,2,Motor Vehicle Theft,31
Kalamazoo County Sheriff's Office,MI,County,2026,2,Murder,0
Kalamazoo County Sheriff's Office,MI,County,2026,2,Rape,3
Kalamazoo County Sheriff's Office,MI,County,2026,2,Robbery,0
Kalamazoo County Sheriff's Office,MI,County,2026,2,Aggravated Assault,23
Kalamazoo County Sheriff's Office,MI,County,2026,2,Burglary,13
Kalamazoo County Sheriff's Office,MI,County,2026,2,Theft,96
Kalamazoo County Sheriff's Office,MI,County,2026,2,Motor Vehicle Theft,11
Kalamazoo Department of Public Safety,MI,City,2026,2,Murder,1
Kalamazoo Department of Public Safety,MI,City,2026,2,Rape,5
Kalamazoo Department of Public Safety,MI,City,2026,2,Robbery,6
Kalamazoo Department of Public Safety,MI,City,2026,2,Aggravated Assault,36
Kalamazoo Department of Public Safety,MI,City,2026,2,Burglary,25
Kalamazoo Department of Public Safety,MI,City,2026,2,Theft,94
Kalamazoo Department of Public Safety,MI,City,2026,2,Motor Vehicle Theft,22
Grand Rapids Police Department,MI,City,2026,2,Murder,1
Grand Rapids Police Department,MI,City,2026,2,Rape,13
Grand Rapids Police Department,MI,City,2026,2,Robbery,8
Grand Rapids Police Department,MI,City,2026,2,Aggravated Assault,77
Grand Rapids Police Department,MI,City,2026,2,Burglary,19
Grand Rapids Police Department,MI,City,2026,2,Theft,229
Grand Rapids Police Department,MI,City,2026,2,Motor Vehicle Theft,28
Kent County Sheriff's Office,MI,County,2026,2,Murder,0
Kent County Sheriff's Office,MI,County,2026,2,Rape,10
Kent County Sheriff's Office,MI,County,2026,2,Robbery,0
Kent County Sheriff's Office,MI,County,2026,2,Aggravated Assault,27
Kent County Sheriff's Office,MI,County,2026,2,Burglary,15
Kent County Sheriff's Office,MI,County,2026,2,Theft,125
Kent County Sheriff's Office,MI,County,2026,2,Motor Vehicle Theft,10
Wyoming Police Department,MI,City,2026,2,Murder,0
Wyoming Police Department,MI,City,2026,2,Rape,6
Wyoming Police Department,MI,City,2026,2,Robbery,0
Wyoming Police Department,MI,City,2026,2,Aggravated Assault,26
Wyoming Police Department,MI,City,2026,2,Burglary,4
Wyoming Police Department,MI,City,2026,2,Theft,91
Wyoming Police Department,MI,City,2026,2,Motor Vehicle Theft,2
Livingston County Sheriff's Office,MI,County,2026,2,Murder,0
Livingston County Sheriff's Office,MI,County,2026,2,Rape,1
Livingston County Sheriff's Office,MI,County,2026,2,Robbery,0
Livingston County Sheriff's Office,MI,County,2026,2,Aggravated Assault,6
Livingston County Sheriff's Office,MI,County,2026,2,Burglary,1
Livingston County Sheriff's Office,MI,County,2026,2,Theft,19
Livingston County Sheriff's Office,MI,County,2026,2,Motor Vehicle Theft,1
Clinton Township Police Department,MI,City,2026,2,Murder,0
Clinton Township Police Department,MI,City,2026,2,Rape,3
Clinton Township Police Department,MI,City,2026,2,Robbery,3
Clinton Township Police Department,MI,City,2026,2,Aggravated Assault,23
Clinton Township Police Department,MI,City,2026,2,Burglary,4
Clinton Township Police Department,MI,City,2026,2,Theft,60
Clinton Township Police Department,MI,City,2026,2,Motor Vehicle Theft,6
Macomb County Sheriff's Office,MI,County,2026,2,Murder,0
Macomb County Sheriff's Office,MI,County,2026,2,Rape,1
Macomb County Sheriff's Office,MI,County,2026,2,Robbery,0
Macomb County Sheriff's Office,MI,County,2026,2,Aggravated Assault,14
Macomb County Sheriff's Office,MI,County,2026,2,Burglary,6
Macomb County Sheriff's Office,MI,County,2026,2,Theft,36
Macomb County Sheriff's Office,MI,County,2026,2,Motor Vehicle Theft,4
Saint Clair Shores Police Department,MI,City,2026,2,Murder,0
Saint Clair Shores Police Department,MI,City,2026,2,Rape,0
Saint Clair Shores Police Department,MI,City,2026,2,Robbery,0
Saint Clair Shores Police Department,MI,City,2026,2,Aggravated Assault,6
Saint Clair Shores Police Department,MI,City,2026,2,Burglary,4
Saint Clair Shores Police Department,MI,City,2026,2,Theft,27
Saint Clair Shores Police Department,MI,City,2026,2,Motor Vehicle Theft,3
Shelby Township Police Department,MI,City,2026,2,Murder,0
Shelby Township Police Department,MI,City,2026,2,Rape,1
Shelby Township Police Department,MI,City,2026,2,Robbery,0
Shelby Township Police Department,MI,City,2026,2,Aggravated Assault,7
Shelby Township Police Department,MI,City,2026,2,Burglary,5
Shelby Township Police Department,MI,City,2026,2,Theft,17
Shelby Township Police Department,MI,City,2026,2,Motor Vehicle Theft,1
Sterling Heights Police Department,MI,City,2026,2,Murder,0
Sterling Heights Police Department,MI,City,2026,2,Rape,5
Sterling Heights Police Department,MI,City,2026,2,Robbery,0
Sterling Heights Police Department,MI,City,2026,2,Aggravated Assault,9
Sterling Heights Police Department,MI,City,2026,2,Burglary,2
Sterling Heights Police Department,MI,City,2026,2,Theft,81
Sterling Heights Police Department,MI,City,2026,2,Motor Vehicle Theft,12
Warren Police Department,MI,City,2026,2,Murder,0
Warren Police Department,MI,City,2026,2,Rape,11
Warren Police Department,MI,City,2026,2,Robbery,1
Warren Police Department,MI,City,2026,2,Aggravated Assault,46
Warren Police Department,MI,City,2026,2,Burglary,13
Warren Police Department,MI,City,2026,2,Theft,108
Warren Police Department,MI,City,2026,2,Motor Vehicle Theft,24
